id,name,type,effects,ailment,flavor,location,thc,cbd,Citrus,Sweet,Earthy,Pine,Skunk,Berry,Lemon,Lime,Blueberry,Strawberry,Mango,Rose,Pepper,Depression,Pain,Insomnia,Stress,Lack of Appetite,Muscle Spasms,Nausea,Inflammation,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry Mouth,Focused,Energetic,Paranoid,Anxious,Hungry,Talkative,Creative
1478,Doox,Sativa,"Uplifted, Energetic, Happy, Focused, Tingly, Dry Mouth","Inflammation, Muscle Spasms, Pain, Depression","Sweet, Citrus, Lime",,0,0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,False
1479,Dr. Grinspoon,Sativa,"Energetic, Euphoric, Uplifted, Happy, Creative, Dry Mouth, Paranoid","Depression, Stress, Pain","Citrus, Earthy",,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,True
1483,Dutch Hawaiian,Sativa,"Happy, Energetic, Uplifted, Euphoric, Relaxed, Dry Mouth, Anxious","Depression, Stress, Pain, Nausea","Citrus, Sweet",,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,True,True,True,False,True,False,True,False,True,False,False,False
1485,East Coast Alien,Sativa,"Happy, Euphoric, Hungry, Relaxed, Creative, Dry Mouth, Paranoid, Anxious","Lack of Appetite, Stress, Depression, Pain",Earthy,,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,True
1487,Elephant,Sativa,"Happy, Creative, Focused, Relaxed, Euphoric",,"Sweet, Earthy",,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,True,True,True,False,False,False,True,False,False,False,False,False,True
1491,Flo Limone,Sativa,"Happy, Focused, Relaxed, Creative","Lack of Appetite, Insomnia, Pain, Stress",,,0,0,,,,,,,,,,,,,,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
1494,Golden Tangie,Sativa,"Horny, Energetic, Focused, Happy",,,,0,0,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,True,True,False,False,False,False,False
1495,Gorkle,Sativa,"Relaxed, Happy, Creative, Focused, Horny","Pain, Stress",Sweet,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
1496,Green Haze,Sativa,"Happy, Talkative, Creative, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious","Pain, Stress, Nausea, Depression, Lack of Appetite",Earthy,,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,False,True,True
1498,Harley Storm,Sativa,"Relaxed, Uplifted, Creative, Euphoric, Happy","Inflammation, Pain, Stress, Muscle Spasms, Depression",Sweet,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True
1499,Hawaiâ€™i â€˜78,Sativa,"Creative, Euphoric, Happy, Relaxed, Horny",,"Sweet, Pineapple",,0,0,False,True,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,True,True,True,False,False,False,False,False,False,False,False,False,True
1501,Hawaiian Dream,Sativa,"Happy, Relaxed, Focused, Euphoric, Energetic, Dry Mouth, Anxious, Paranoid","Depression, Pain, Inflammation, Stress","Sweet, Pineapple",,0,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,False,False,False
1503,Hawaiian Mayan Gold,Sativa,"Uplifted, Creative, Energetic, Euphoric, Happy","Depression, Inflammation, Lack of Appetite, Muscle Spasms","Sweet, Lime",,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,True,True,False,False,False,True,False,False,False,False,True
1506,Haze Wreck,Sativa,"Focused, Uplifted, Happy, Euphoric, Talkative, Dry Mouth","Stress, Depression, Pain, Nausea, Lack of Appetite","Sweet, Skunk",,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False
1507,Heisenberg Kush,Sativa,"Happy, Euphoric, Energetic, Uplifted, Creative, Dry Mouth","Depression, Stress, Pain","Berry, Sweet, Grape",,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,True
1508,Higher Power,Sativa,"Creative, Uplifted, Energetic, Focused, Happy, Dry Mouth, Paranoid","Depression, Lack of Appetite, Stress, Insomnia",Grape,,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,True
1510,Hoodwreck,Sativa,"Euphoric, Happy, Creative, Energetic, Focused",Depression,Sweet,,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True
1511,Hurricane,Sativa,"Euphoric, Happy, Relaxed, Energetic, Uplifted, Dry Mouth, Anxious","Stress, Pain, Nausea, Depression","Sweet, Grape",,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,True,True,True,False,True,False,True,False,True,False,False,False
1513,Incredible Hulk,Sativa,"Happy, Uplifted, Focused, Euphoric, Creative, Dry Mouth, Paranoid","Pain, Lack of Appetite, Insomnia, Stress, Depression","Sweet, Earthy, Citrus",,0,0,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,True
1515,Island Maui Haze,Sativa,"Euphoric, Tingly, Creative, Uplifted, Horny, Dry Mouth, Anxious, Paranoid","Stress, Depression, Nausea","Mango, Ammonia",,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True
1518,Jack Smack,Sativa,"Energetic, Uplifted, Focused, Happy, Creative, Dry Mouth","Depression, Stress, Lack of Appetite","Blueberry, Earthy",,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,True
